Date,Speaker,crime_gt_score,economy_gt_score,elites_gt_score,people_gt_score,service_gt_score,they_gt_score,violence_gt_score,war_gt_score,we_gt_score
2015-01-01,Trump,,,,,,,,,
2015-02-01,Trump,,,,,,,,,
2015-03-01,Trump,,,,,,,,,
2015-04-01,Trump,0.0,1.181525241675618,0.2148227712137487,0.0,0.0,2.82513395031661,0.1611170784103115,0.0,2.581587920116902
2015-05-01,Trump,0.02957704821058858,1.952085181898846,0.2366163856847086,0.0,0.02957704821058858,4.171240395170143,0.3845016267376516,0.02957704821058858,2.469813391877058
2015-06-01,Trump,0.06756756756756757,1.638513513513513,0.3209459459459459,0.0,0.1689189189189189,2.316724849254205,0.793918918918919,0.2533783783783784,3.221199619168518
2015-07-01,Trump,0.07640586797066015,1.084963325183374,0.1069682151589242,0.0,0.03056234718826406,2.437688304574089,0.6112469437652812,0.1680929095354523,1.944672692413037
2015-08-01,Trump,0.1198861081972126,1.303761426644688,0.1198861081972126,0.01498576352465158,0.179829162295819,2.388946280991735,0.4495729057395474,0.04495729057395474,2.15650826446281
2015-09-01,Trump,0.07504127269998499,1.320726399519736,0.09004952723998198,0.0,0.07504127269998499,2.368351415718444,0.6003301815998799,0.105057781779979,2.778512834083091
2015-10-01,Trump,0.01680672268907563,1.663865546218487,0.2016806722689076,0.0,0.03361344537815126,3.048397234443746,0.319327731092437,0.1176470588235294,2.844123192960403
2015-11-01,Trump,0.1488316713796696,1.086471201071588,0.1934811727935705,0.0,0.0744158356898348,2.607400049664763,0.5506771841047775,0.04464950141390088,3.017134343183511
2015-12-01,Trump,0.09041591320072333,0.617842073538276,0.1506931886678722,0.0,0.1054852320675105,3.260702777351542,0.9192284508740205,0.1808318264014467,2.669940156513734
2016-01-01,Trump,0.02418964683115626,1.064344460570876,0.1693275278180938,0.02418964683115626,0.07256894049346879,2.18281036834925,0.7740686985970004,0.2418964683115627,2.910413824465666
2016-02-01,Trump,0.06193868070610096,1.331681635181171,0.03096934035305048,0.03096934035305048,0.1858160421183029,1.964809384164223,0.8671415298854134,0.2167853824713533,3.137829912023461
2016-03-01,Trump,0.09357454772301933,0.9669369931378666,0.4054897067997504,0.06238303181534623,0.2495321272613849,2.004126142057177,0.8109794135995009,0.2495321272613849,4.774535809018567
2016-04-01,Trump,0.03092624091541673,0.9896397092933353,0.3092624091541673,0.06185248183083346,0.2010205659502088,2.0963750181977,0.3092624091541673,0.1546312045770837,3.100888047750765
2016-05-01,Trump,0.04449718184514981,0.6674577276772471,0.2521506971225156,0.01483239394838327,0.222485909225749,1.794273073614354,0.3708098487095817,0.1038267576386829,4.215312768833723
2016-06-01,Trump,0.0,4.27094668117519,0.3808487486398259,0.1088139281828074,0.08161044613710555,1.41533710756562,0.5168661588683352,0.1360174102285092,3.474009264024704
2016-07-01,Trump,0.1194267515923567,1.512738853503185,0.179140127388535,0.0,0.03980891719745223,2.090789225842908,0.4976114649681528,0.07961783439490447,3.522320587681296
2016-08-01,Trump,0.1659160938611045,1.445840246503911,0.4266413842142688,0.0,0.1185114956150747,1.237964236588721,1.114008058781702,0.09480919649205972,2.659330582301696
2016-09-01,Trump,0.02527805864509606,1.66835187057634,0.8847320525783621,0.2275025278058645,0.2275025278058645,1.004901960784314,0.6066734074823054,0.02527805864509606,1.887254901960784
2016-10-01,Trump,0.06185248183083346,1.438070202566878,0.5721354569352095,0.07731560228854183,0.1082418432039586,1.918141294069972,0.6185248183083346,0.2164836864079171,2.553019046332568
2016-11-01,Trump,0.07686395080707148,1.255444529848834,0.4868050217781194,0.07686395080707148,0.153727901614143,1.641352278294953,0.5636689725851909,0.1281065846784525,4.385105340519353
2016-12-01,Trump,0.1319696469811943,0.6763444407786209,0.1979544704717915,0.1649620587264929,0.0,1.489028213166144,0.3794127350709337,0.06598482349059716,3.040752351097179
2015-01-01,Clinton,,,,,,,,,
2015-02-01,Clinton,,,,,,,,,
2015-03-01,Clinton,,,,,,,,,
2015-04-01,Clinton,0.0,1.284109149277689,0.0,0.0,1.524879614767255,0.9796533534287867,0.5617977528089888,0.08025682182985554,1.959306706857573
2015-05-01,Clinton,0.02741979709350151,1.124211680833562,0.0,0.08225939128050452,0.2467781738415135,1.177675371223758,0.2193583767480121,0.0,2.227342549923195
